timestamp,messageType,latencyMs,statusCode,roomId
1760133168155,TEXT,3,200,17
1760133168155,JOIN,3,200,17
1760133168156,TEXT,2,200,17
1760133168155,LEAVE,3,200,20
1760133168155,TEXT,3,200,16
1760133168154,JOIN,3,200,3
1760133168155,TEXT,3,200,16
1760133168155,TEXT,3,200,16
1760133168155,TEXT,3,200,3
1760133168155,TEXT,3,200,18
1760133168155,TEXT,3,200,5
1760133168155,TEXT,3,200,7
1760133168155,TEXT,3,200,7
1760133168156,TEXT,2,200,7
1760133168155,TEXT,3,200,4
1760133168155,TEXT,3,200,4
1760133168155,TEXT,3,200,4
1760133168156,TEXT,2,200,4
1760133168154,TEXT,4,200,2
1760133168155,TEXT,3,200,2
1760133168156,TEXT,2,200,18
1760133168155,TEXT,3,200,2
1760133168156,TEXT,2,200,18
1760133168156,TEXT,2,200,18
1760133168156,JOIN,2,200,20
1760133168156,TEXT,2,200,7
1760133168156,TEXT,2,200,20
1760133168156,TEXT,2,200,20
1760133168156,TEXT,2,200,12
1760133168156,TEXT,2,200,12
1760133168156,TEXT,2,200,12
1760133168155,TEXT,3,200,5
1760133168156,TEXT,2,200,5
1760133168156,TEXT,2,200,8
1760133168156,JOIN,3,200,10
1760133168156,TEXT,3,200,10
1760133168156,TEXT,2,200,8
1760133168156,TEXT,2,200,10
1760133168157,TEXT,1,200,10
1760133168156,TEXT,2,200,8
1760133168155,JOIN,4,200,15
1760133168156,JOIN,3,200,1
1760133168156,TEXT,2,200,1
1760133168156,TEXT,3,200,15
1760133168157,TEXT,2,200,7
1760133168156,LEAVE,3,200,14
1760133168156,TEXT,2,200,4
1760133168156,TEXT,2,200,4
1760133168155,TEXT,4,200,16
1760133168155,TEXT,4,200,16
1760133168156,TEXT,3,200,16
1760133168156,TEXT,3,200,6
1760133168156,TEXT,3,200,20
1760133168156,TEXT,3,200,14
1760133168156,TEXT,3,200,16
1760133168156,TEXT,3,200,20
1760133168156,LEAVE,3,200,14
1760133168156,TEXT,3,200,14
1760133168156,TEXT,4,200,6
1760133168156,TEXT,3,200,6
1760133168160,TEXT,1,200,16
1760133168160,TEXT,1,200,13
1760133168160,TEXT,1,200,1
1760133168160,TEXT,1,200,8
1760133168160,TEXT,1,200,11
1760133168160,TEXT,1,200,7
1760133168160,TEXT,1,200,10
1760133168160,TEXT,1,200,1
1760133168160,TEXT,1,200,20
1760133168160,TEXT,1,200,8
1760133168160,TEXT,1,200,6
1760133168160,TEXT,1,200,1
1760133168160,TEXT,1,200,20
1760133168160,TEXT,1,200,15
1760133168162,TEXT,1,200,9
1760133168162,TEXT,2,200,3
1760133168162,TEXT,2,200,13
1760133168163,LEAVE,2,200,13
1760133168162,TEXT,2,200,4
1760133168162,TEXT,2,200,6
1760133168162,TEXT,2,200,11
1760133168162,TEXT,2,200,6
1760133168162,LEAVE,2,200,2
1760133168162,TEXT,2,200,2
1760133168162,TEXT,3,200,4
1760133168163,TEXT,3,200,6
1760133168164,TEXT,2,200,6
1760133168162,LEAVE,4,200,17
1760133168162,LEAVE,4,200,17
1760133168163,TEXT,3,200,17
1760133168163,TEXT,3,200,17
1760133168162,TEXT,4,200,18
1760133168163,TEXT,3,200,18
1760133168162,TEXT,4,200,20
1760133168163,TEXT,3,200,7
1760133168163,TEXT,3,200,18
1760133168163,TEXT,3,200,20
1760133168163,TEXT,3,200,18
1760133168162,TEXT,4,200,12
1760133168162,TEXT,4,200,5
1760133168162,TEXT,4,200,15
1760133168163,TEXT,3,200,20
1760133168163,JOIN,4,200,12
1760133168163,TEXT,3,200,3
1760133168163,TEXT,3,200,3
1760133168164,TEXT,3,200,3
1760133168164,TEXT,2,200,3
1760133168163,JOIN,4,200,1
1760133168163,TEXT,3,200,1
1760133168164,TEXT,3,200,4
1760133168163,TEXT,4,200,16
1760133168163,TEXT,3,200,16
1760133168163,TEXT,3,200,11
1760133168164,TEXT,3,200,11
1760133168163,TEXT,3,200,16
1760133168164,TEXT,3,200,16
1760133168163,TEXT,3,200,15
1760133168162,TEXT,4,200,5
1760133168162,JOIN,5,200,8
1760133168164,TEXT,3,200,16
1760133168164,TEXT,3,200,18
1760133168163,TEXT,4,200,12
1760133168164,TEXT,3,200,12
1760133168164,TEXT,2,200,6
1760133168163,TEXT,4,200,8
1760133168164,TEXT,3,200,1
1760133168164,TEXT,3,200,11
1760133168164,TEXT,3,200,15
1760133168164,TEXT,3,200,7
1760133168164,TEXT,3,200,15
1760133168164,TEXT,3,200,5
1760133168162,TEXT,5,200,10
1760133168164,TEXT,3,200,9
1760133168164,TEXT,3,200,2
1760133168163,TEXT,4,200,14
1760133168163,TEXT,4,200,10
1760133168164,TEXT,3,200,2
1760133168164,TEXT,3,200,9
1760133168168,TEXT,2,200,17
1760133168168,TEXT,2,200,17
1760133168168,TEXT,2,200,10
